fiscal_year,quarter,organization_id,organization_name,service_provider_id,service_provider_name,service_provider_desc,service_id,service_name,service_provided,transaction_point,channel,rating,reflection,population_size,volume_of_customers_provided_survey_opportunity,volume_of_respondents,sample_size,question_id,question_text,strongly_disagree_num,disagree_num,neutral_num,agree_num,strongly_agree_num,strongly_agree_or_agree_num,point_scale,metric_category
2021,2,2129,Department of Veterans Affairs,22,Veterans Benefits Administration,"The Veterans Benefits Administration (VBA) serves over 5.5 million Veterans across 56 regional offices with personalized benefits and services related to education, life insurance, home loan guaranty, and employment. In 2020, VBA guaranteed 1.2 million home loans and provided Post-9/11 GI Bill payments to over 600,000 beneficiaries.",26,Contacting the Benefits Administration contact center,AMA Supplemental Claim,e-mail survey with online response collection,email,TRUE,Data Highlights: NCC - Efficiency increased by 10 percentage points over the past year; All domains are steadily increasing each quarter ECC - Employee helpfulness remains over 90% INS - All domains increased by 3 percentage points or more; Satisfaction increased by 9 percentage points EDU - Equity had a 22 percentage point correction from FY21 Q1 with applying for benefits OAR - Operational data still under review and validation,,14625,4030,4027,2,I trust VA to fulfill our country's commitment to Veterans.,774,484,862,1024,883,1907,3.19,trust
2021,2,2129,Department of Veterans Affairs,22,Veterans Benefits Administration,"The Veterans Benefits Administration (VBA) serves over 5.5 million Veterans across 56 regional offices with personalized benefits and services related to education, life insurance, home loan guaranty, and employment. In 2020, VBA guaranteed 1.2 million home loans and provided Post-9/11 GI Bill payments to over 600,000 beneficiaries.",26,Contacting the Benefits Administration contact center,AMA Filing a Request for Decision Review,e-mail survey with online response collection,email,TRUE,Data Highlights: NCC - Efficiency increased by 10 percentage points over the past year; All domains are steadily increasing each quarter ECC - Employee helpfulness remains over 90% INS - All domains increased by 3 percentage points or more; Satisfaction increased by 9 percentage points EDU - Equity had a 22 percentage point correction from FY21 Q1 with applying for benefits OAR - Operational data still under review and validation,,18389,3673,3673,2,I trust VA to fulfill our country's commitment to Veterans.,522,408,804,962,977,1939,3.4,trust
2021,2,2129,Department of Veterans Affairs,22,Veterans Benefits Administration,"The Veterans Benefits Administration (VBA) serves over 5.5 million Veterans across 56 regional offices with personalized benefits and services related to education, life insurance, home loan guaranty, and employment. In 2020, VBA guaranteed 1.2 million home loans and provided Post-9/11 GI Bill payments to over 600,000 beneficiaries.",26,Contacting the Benefits Administration contact center,VBA Education Service Receiving Benefits,CX data is collected using an online transactional survey disseminated three times a week within 2-5 days after callers have interacted with the call center.,email,TRUE,Data Highlights: NCC - Efficiency increased by 10 percentage points over the past year; All domains are steadily increasing each quarter ECC - Employee helpfulness remains over 90% INS - All domains increased by 3 percentage points or more; Satisfaction increased by 9 percentage points EDU - Equity had a 22 percentage point correction from FY21 Q1 with applying for benefits OAR - Operational data still under review and validation,428526,49526,2915,2914,2,"After receiving my education benefits, I understand how to receive education benefits in the future.",108,126,325,980,1375,2355,4.16,trust
2021,2,2129,Department of Veterans Affairs,22,Veterans Benefits Administration,"The Veterans Benefits Administration (VBA) serves over 5.5 million Veterans across 56 regional offices with personalized benefits and services related to education, life insurance, home loan guaranty, and employment. In 2020, VBA guaranteed 1.2 million home loans and provided Post-9/11 GI Bill payments to over 600,000 beneficiaries.",26,Contacting the Benefits Administration contact center,VBA Education Applying for Benefits,CX data is collected using an online transactional survey disseminated three times a week within 2-5 days after callers have interacted with the call center.,mobile,TRUE,Data Highlights: NCC - Efficiency increased by 10 percentage points over the past year; All domains are steadily increasing each quarter ECC - Employee helpfulness remains over 90% INS - All domains increased by 3 percentage points or more; Satisfaction increased by 9 percentage points EDU - Equity had a 22 percentage point correction from FY21 Q1 with applying for benefits OAR - Operational data still under review and validation,478317,46929,2432,2432,2,I trust VA to effectively administer my education benefits.,170,153,270,792,1047,1839,3.98,trust
2021,2,2129,Department of Veterans Affairs,22,Veterans Benefits Administration,"The Veterans Benefits Administration (VBA) serves over 5.5 million Veterans across 56 regional offices with personalized benefits and services related to education, life insurance, home loan guaranty, and employment. In 2020, VBA guaranteed 1.2 million home loans and provided Post-9/11 GI Bill payments to over 600,000 beneficiaries.",26,Contacting the Benefits Administration contact center,VBA Education Service Enrolling in School,CX data is collected using an online transactional survey disseminated three times a week within 2-5 days after callers have interacted with the call center.,,TRUE,Data Highlights: NCC - Efficiency increased by 10 percentage points over the past year; All domains are steadily increasing each quarter ECC - Employee helpfulness remains over 90% INS - All domains increased by 3 percentage points or more; Satisfaction increased by 9 percentage points EDU - Equity had a 22 percentage point correction from FY21 Q1 with applying for benefits OAR - Operational data still under review and validation,274402,26447,1461,1462,2,I trust VA to effectively administer my education benefits.,77,81,161,439,704,1143,4.1,trust
2021,2,2129,Department of Veterans Affairs,22,Veterans Benefits Administration,"The Veterans Benefits Administration (VBA) serves over 5.5 million Veterans across 56 regional offices with personalized benefits and services related to education, life insurance, home loan guaranty, and employment. In 2020, VBA guaranteed 1.2 million home loans and provided Post-9/11 GI Bill payments to over 600,000 beneficiaries.",26,Contacting the Benefits Administration contact center,VBA Education Call Center,CX data is collected using an online transactional survey disseminated three times a week within 2-5 days after callers have interacted with the call center.,computer,TRUE,Data Highlights: NCC - Efficiency increased by 10 percentage points over the past year; All domains are steadily increasing each quarter ECC - Employee helpfulness remains over 90% INS - All domains increased by 3 percentage points or more; Satisfaction increased by 9 percentage points EDU - Equity had a 22 percentage point correction from FY21 Q1 with applying for benefits OAR - Operational data still under review and validation,433452,31765,1320,1320,2,I trust VA to fulfill our country’s commitment to Veterans.,105,69,171,272,703,975,4.06,trust
2021,2,2129,Department of Veterans Affairs,22,Veterans Benefits Administration,"The Veterans Benefits Administration (VBA) serves over 5.5 million Veterans across 56 regional offices with personalized benefits and services related to education, life insurance, home loan guaranty, and employment. In 2020, VBA guaranteed 1.2 million home loans and provided Post-9/11 GI Bill payments to over 600,000 beneficiaries.",26,Contacting the Benefits Administration contact center,VBA Nation Call Center,CX data is collected using an online transactional survey disseminated three times a week within 2-5 days after callers have interacted with the call center.,computer,TRUE,Data Highlights: NCC - Efficiency increased by 10 percentage points over the past year; All domains are steadily increasing each quarter ECC - Employee helpfulness remains over 90% INS - All domains increased by 3 percentage points or more; Satisfaction increased by 9 percentage points EDU - Equity had a 22 percentage point correction from FY21 Q1 with applying for benefits OAR - Operational data still under review and validation,1818527,99381,10186,10186,2,I trust VA to fulfill our country’s commitment to Veterans.,919,651,1447,2537,4632,7169,3.91,trust
2021,2,2129,Department of Veterans Affairs,22,Veterans Benefits Administration,"The Veterans Benefits Administration (VBA) serves over 5.5 million Veterans across 56 regional offices with personalized benefits and services related to education, life insurance, home loan guaranty, and employment. In 2020, VBA guaranteed 1.2 million home loans and provided Post-9/11 GI Bill payments to over 600,000 beneficiaries.",26,Contacting the Benefits Administration contact center,VBA Insurance Call Center,CX data is collected using an online transactional survey disseminated three times a week within 2-5 days after callers have interacted with the call center.,computer,TRUE,Data Highlights: NCC - Efficiency increased by 10 percentage points over the past year; All domains are steadily increasing each quarter ECC - Employee helpfulness remains over 90% INS - All domains increased by 3 percentage points or more; Satisfaction increased by 9 percentage points EDU - Equity had a 22 percentage point correction from FY21 Q1 with applying for benefits OAR - Operational data still under review and validation,115197,5163,507,508,2,I trust VA to fulfill our country’s commitment to Veterans.,23,26,53,130,276,406,4.2,trust
2021,2,2139,Department of Homeland Security,27,Transportation Security Administration,"The Transportation Security Administration (TSA) is responsible for protecting the nation’s transportation systems to ensure freedom of movement for people and commerce. Within TSA, Domestic Aviation Operations is responsible for nearly 440 Federalized airports, screening more than 2 million passengers daily and 750 million every year and Surface Operations secures a wide U.S. transportation network of roadways, railroad tracks, tunnels, ports, and pipelines.",20,Contacting the TSA contact center,TSA Contact Center (TCC) - Email,Follow-up Survey after Email Interaction with TSA Contact Center,email,TRUE,"Looking Back The Q1 email survey results were the last assessment of our old contact center vendor/ agents, as the contract switched from the old vendor to the new vendor on 11/29/2020 (email contacts from 09/2020 through 11/2020, who responded from 10/2020 through 12/2020). Due to transition, we had to reduce our normal business hours in 11/2020. In addition, the old vendor experienced significant staffing issues during the same month. We can see the negative results of both of these facts in our Process / Efficiency score. The Q1 email survey results were the first assessment using our newly approved PRA survey. With this survey, we added a Trust / Confidence question and made a few other minor adjustments to the questions asked. We are interested to see how the new Trust / Confidence question trends over the next few quarters. Looking Forward The Q2 email survey results will be the first assessment of our new contact center vendor/ agents (email contacts from 12/2020 through 02/2021, who responded from 01/2021 through 03/2021). With the new vendor, we returned to our normal business hours; however, we also brought onboard nearly 100 new agents. We expect the results to reflect these facts. Finally, a major goal for FY21 is to complete a second Passenger Experience Survey (last conducted in FY19), to collect valuable feedback at a much more direct touchpoint: the screening checkpoint.",19322,5219,850,850,2,This interaction increased my confidence in TSA,237,127,171,172,143,315,2.83,trust
2021,2,2139,Department of Homeland Security,27,Transportation Security Administration,"The Transportation Security Administration (TSA) is responsible for protecting the nation’s transportation systems to ensure freedom of movement for people and commerce. Within TSA, Domestic Aviation Operations is responsible for nearly 440 Federalized airports, screening more than 2 million passengers daily and 750 million every year and Surface Operations secures a wide U.S. transportation network of roadways, railroad tracks, tunnels, ports, and pipelines.",20,Contacting the TSA contact center,TSA Contact Center (TCC) - Phone,Follow-up Survey after Phone Interaction with TSA Contact Center,automated_phone,TRUE,"Looking Back The Q1 email survey results were the last assessment of our old contact center vendor/ agents, as the contract switched from the old vendor to the new vendor on 11/29/2020 (email contacts from 09/2020 through 11/2020, who responded from 10/2020 through 12/2020). Due to transition, we had to reduce our normal business hours in 11/2020. In addition, the old vendor experienced significant staffing issues during the same month. We can see the negative results of both of these facts in our Process / Efficiency score. The Q1 email survey results were the first assessment using our newly approved PRA survey. With this survey, we added a Trust / Confidence question and made a few other minor adjustments to the questions asked. We are interested to see how the new Trust / Confidence question trends over the next few quarters. Looking Forward The Q2 email survey results will be the first assessment of our new contact center vendor/ agents (email contacts from 12/2020 through 02/2021, who responded from 01/2021 through 03/2021). With the new vendor, we returned to our normal business hours; however, we also brought onboard nearly 100 new agents. We expect the results to reflect these facts. Finally, a major goal for FY21 is to complete a second Passenger Experience Survey (last conducted in FY19), to collect valuable feedback at a much more direct touchpoint: the screening checkpoint.",88343,88343,5065,4973,2,This interaction increased my confidence in TSA,164,88,381,580,3760,4340,4.55,trust
2021,2,2130,Department of State,40,Passport Services,"Passport Services is a directorate within the Bureau of Consular Affairs at the U.S. Department of State. The mission of Passport Services is to facilitate international travel and enhance national security by issuing secure travel documents to U.S. citizens and nationals while providing the highest level of customer service, professionalism, and integrity. It has the most interactions with U.S. citizens than any other bureau with the Department. In Fiscal Year 2018, Passport Services issued 21.1 million passport books and cards. There are currently 127 million valid U.S. passports and 42 percent of all U.S. citizens have a passport. U.S. citizens can apply for their passport at one of the 27 domestic passport agencies or centers or at one of the 7,600 passport acceptance facilities located throughout the U.S. Citizens can also renew their passport conveniently through the mail. The key services offered are information and assistance in applying for, renewing and reporting a lost or stolen passport; the processing of applications and issuance of passports; and 24/7 availability of duty officers to assist customers with life and death emergencies. Customers can receive information on how to apply, access passport application forms, locate a nearby passport acceptance facility and schedule an appointment online at a passport agency by visiting the Department's official website at [travel.state.gov](https://travel.state.gov).",25,Passport Services,Passport information and status on pending passport applications,Immediately following a phone call with a customer service representative,automated_phone,PARTIAL,"On March 19, 2020 Passport Services suspended expedted service and limited passport agencies to only permit customers with a life or death emergency, traveling within 72 hours, to apply in person at a passport agency and receive immediate service. We also served those who needed to travel immediately for COVID-19 related humanatarian causes and for national security reasons. These limited operations extended throughout FY 2020 Quarter 3. We permitted customers to continue to apply for their passport (routine service only) at a passport acceptance facility or by renewing through the mail but were unable to publish processing times. On September 28, 2020 we re-established processing times for routine and expedited service as more of our employees returned safely to work. The processing times are 10 to 12 weeks for routine service and 4 to 6 weeks for expedited service. We also continued to serve customers with life or death emergencies at our passport agencies and opened up a limited number of regular appointments for those who are travelling within 3 business days. Our ability to serve customers applying in-person at a passport agency remained extremely limited in FY 21 Q2 due to COVID-19 conditions and our commitment to the safety of our employees and customers. Our website, contact centers, and social media platforms have provided customers with up-to-date information on passport operations since March 19, 2020. ",1309231,130923,2574,85,2,How likely are you to recommend the National Passport Information Center?,85,0,0,0,0,0,1,trust
